red    open   weibo_feedback_private_2019-07-02                                  5   1          0            0        1kb           576b 
red    open   weibo_warning_corpus                                               5   1          6            3    130.8kb         65.4kb 
red    open   weibo_trace_community_wxnr0086                                     5   1          0            0        1kb           576b 
red    open   weibo_speech_warning_2019-07-03                                    5   1          0            0        1kb           576b 
red    open   weibo_feedback_at_2019-07-03                                       5   1          0            0       792b           432b 
red    open   group_message_2019-07-03                                           5   1          0            0       756b           432b 
red    open   weibo_time_warning_2019-07-23                                      5   1          0            0        1kb           576b 
red    open   group_message_2019-07-01                                           5   1          0            0       792b           432b 
red    open   weibo_trace_community_wxnr0172                                     5   1          0            0       792b           432b 
red    open   twitter_txnr0001_sa_de                                             5   1          0            0       756b           432b 
red    open   weibo_event_warning_2019-07-02                                     5   1          0            0      1008b           576b 
red    open   weibo_trace_community_wxnr0090                                     5   1          0            0      1008b           576b 
red    open   network_buzzwords                                                  5   1          1            0     12.2kb          6.1kb 
red    open   weibo_feedback_like_2019-07-03                                     5   1          0            0       792b           432b 
red    open   models_text                                                        5   1          1            0     23.6kb         11.8kb 
red    open   intel_writing_task                                                 5   1          6            0       67kb         33.5kb 
red    open   weibo_speech_history_warning                                       5   1     266994            0    870.5mb        435.2mb 
