word,count
英俊,282
每日,282
͞,282
丢,282
͟,282
流泪,281
茶,281
俩,281
感情,281
想法,280
收到,280
想象,279
上课,279
艺术,279
坐,278
现实,277
B,277
进,277
魅力,277
妈呀,277
大哥,276
怒骂,276
表白,276
难受,275
丶,275
英语,274
道理,274
一颗,274
追,273
法律,273
恋爱,273
亚洲,272
变,272
翻,272
女生,272
干嘛,272
赶紧,271
理由,271
宇,270
铁牛,270
体验,270
祖国,270
鱼,270
玉芬,270
第一个,269
怀疑,269
非,268
脑子,268
单曲,267
文字,267
道,267
长大,267
磕,266
差,266
🙃,266
结婚,266
微,266
一场,266
花店,265
点赞,264
拒绝,264
内心,264
镜头,264
双,264
家乡,264
大号,262
身上,262
....,261
饿,261
带来,261
表现,261
神,261
101,261
周末,260
卖,260
华晨,260
鬼,260
精神,260
这件,259
真诚,258
累,258
水平,258
男生,257
男朋友,257
全球,257
to,257
教授,256
教育,256
嗑,256
网友,255
火箭,255
设计,254
青春,254
Forever,254
国内,254
yamy,253
代表,253
全世界,253
广告,252
感到,252
有意思,251
PINKRAY,251
投,251
贴,251
话题,251
噗,251
一口,251
15,251
30,251
表达,251
老婆,251
我家,250
阳光,250
抓,250
免费,250
举报,250
人间,250
一个月,249
瞎,249
十一,248
伤心,248
会员,248
事儿,248
道歉,248
回答,247
汗,246
解决,246
担心,246
队长,246
女儿,246
老公,246
邓伦,245
感恩,245
飞,245
小说,244
小时候,244
价值,244
小小,244
温润,244
建议,244
痛苦,244
演唱会,243
仿佛,243
撕,243
打榜,243
成长,243
C,243
电脑,242
舒服,241
瓜,241
风,240
菜,240
猪,240
最右,239
夸,239
有时候,239
Weibo,239
错过,238
回归,238
互捞,238
一路,238
没事,237
医生,236
依然,236
EypTpHk,236
比赛,236
去年,235
万,235
愿,235
改变,235
生动,234
改,234
慢慢,233
身边,233
两天,233
真心,232
中心,232
好笑,232
抢,232
°,232
男孩,231
年轻,231
见到,231
唱歌,230
解释,230
努力学习,230
顺利,230
忘记,230
成绩,230
安静,230
围观,230
胖,229
采访,229
我能,229
同款,229
相关,229
ID,229
强,228
蹲,228
分析,228
姐,227
咸鱼,227
躺,227
俱乐部,226
学术,226
一周,226
嗷嗷,226
动物,226
再也,225
凉,225
可惜,224
博士,224
也许,223
君子,223
宇宙,222
票,222
组织,222
儿童,221
高中,221
最爱,220
截图,220
不知,220
天使,220
打脸,220
V,220
翻译,219
呆,218
and,218
上次,218
太好了,218
一生,218
效果,217
科学,217
搞笑,217
颜,217
学会,217
聊天,216
王老师,216
文明,216
很大,216
一段,216
早就,216
删,215
🐴,215
深夜,215
令人,215
18,215
艹,215
滴,214
意识,214
兄弟,214
灵魂,213
王子,213
死亡,213
信息,213
派,213
花朵,213
颜色,213
一份,213
计划,212
河豚,212
夜行,212
з,211
程度,211
杀,211
一篇,211
停止,211
假,210
好友,210
八点,210
24,210
Sunnee,210
分钟,209
独立,209
恨,209
👌,209
这句,209
Aloha,209
参加,209
久,209
父母,209
of,208
2019,208
出席,208
欺凌,208
忙,208
发出,207
味,207
金,207
祝福,207
动作,207
阅读,207
感冒,207
精彩,207
1129,207
尴尬,207
受,207
焱,206
如玉,206
蹭,206
全,206
走失,206
吐槽,205
渣,205
家里,205
失败,205
压力,204
卷,204
网络,204
尊重,204
